契約ID,検知日時,緯度,経度,座標に基づく都道府県名,座標に基づく市町村名,検知時車両速度,検知時運転時間,衝突感知フラグ,急停車フラグ,急ハンドルフラグ,SOS発信フラグ,アルコール検知フラグ
CTR00019,2026-08-01 13:00:37,34.701255,135.517233,大阪府,大阪市,76.1,115,0,0,0,0,0
CTR00104,2026-08-01 18:46:27,35.69436,139.785103,東京都,千代田区,55.5,235,0,0,0,0,0
CTR00054,2026-08-01 13:17:13,38.278029,140.857499,宮城県,仙台市,36.8,79,0,0,0,0,0
CTR00132,2026-08-01 10:39:56,35.454916,139.626688,神奈川県,横浜市,66.3,206,0,0,0,0,0
CTR00113,2026-08-01 08:27:31,43.076255,141.357564,北海道,札幌市,29.9,165,0,0,0,0,0
CTR00051,2026-08-01 22:44:32,35.513045,139.717009,神奈川県,川崎市,37.7,53,0,0,0,0,0
CTR00129,2026-08-01 23:43:34,34.69928,135.206121,兵庫県,神戸市,61.0,192,0,0,0,0,0
CTR00220,2026-08-01 18:24:41,34.683579,135.51855,大阪府,大阪市,27.2,186,0,0,0,0,0
CTR00250,2026-08-01 08:44:03,43.04977,141.348197,北海道,札幌市,34.7,131,0,0,0,0,0
CTR00161,2026-08-01 16:04:15,35.6674,139.74212,東京都,港区,68.4,293,0,0,0,0,0
CTR00177,2026-08-01 20:23:49,35.694016,139.680746,東京都,新宿区,42.9,9,0,0,0,0,0
CTR00167,2026-08-01 11:35:24,35.173124,136.917879,愛知県,名古屋市,35.6,103,0,0,0,0,0
CTR00134,2026-08-01 21:43:36,35.708683,139.792623,東京都,千代田区,65.2,217,0,0,0,0,0
CTR00289,2026-08-01 19:18:38,35.453272,139.622254,神奈川県,横浜市,0.4,51,0,0,0,0,0
CTR00207,2026-08-01 22:08:59,35.664631,139.760369,東京都,港区,,95,0,0,0,0,0
CTR00030,2026-08-01 20:58:58,43.061102,141.328581,北海道,札幌市,91.8,219,0,0,0,0,0
CTR00265,2026-08-01 21:43:57,35.688251,139.683751,東京都,新宿区,29.7,226,0,0,0,0,0
CTR00120,2026-08-01 23:14:29,34.694953,135.515826,大阪府,大阪市,42.9,271,0,0,0,0,0
CTR00172,2026-08-01 19:55:46,35.699003,139.69271,東京都,新宿区,,39,0,0,0,0,0
CTR00076,2026-08-01 09:49:41,34.378933,132.441893,広島県,広島市,94.8,42,0,0,0,0,0
CTR00067,2026-08-01 16:33:15,35.172007,136.897263,愛知県,名古屋市,98.4,76,0,0,0,0,0
CTR00136,2026-08-01 09:12:58,35.689373,139.791961,東京都,千代田区,48.2,146,0,0,0,0,1
CTR00190,2026-08-01 12:55:09,34.671569,135.179821,兵庫県,神戸市,80.3,196,0,0,0,0,0
