契約ID,検知日時,緯度,経度,座標に基づく都道府県名,座標に基づく市町村名,検知時車両速度,検知時運転時間,衝突感知フラグ,急停車フラグ,急ハンドルフラグ,SOS発信フラグ,アルコール検知フラグ
CTR00230,2026-08-03 02:37:34,35.435592,139.621683,神奈川県,横浜市,62.4,294,0,0,0,0,0
CTR00025,2026-08-03 07:26:21,38.273299,140.864825,宮城県,仙台市,54.2,87,0,0,0,0,0
CTR00166,2026-08-03 04:31:43,35.689422,139.701413,東京都,新宿区,89.0,131,0,0,0,0,0
CTR00248,2026-08-03 03:01:38,38.272732,140.874908,宮城県,仙台市,71.4,172,0,0,0,0,0
CTR00069,2026-08-03 00:42:08,43.054102,141.329401,北海道,札幌市,73.3,165,0,0,0,0,0
CTR00164,2026-08-03 03:25:06,43.055532,141.358371,北海道,札幌市,51.4,95,0,0,0,0,0
CTR00207,2026-08-03 04:25:39,35.700078,139.688087,東京都,新宿区,26.0,42,0,0,0,0,0
CTR00109,2026-08-03 01:54:10,35.441548,139.650234,神奈川県,横浜市,,144,0,0,0,0,0
CTR00035,2026-08-03 00:31:40,34.681455,135.516653,大阪府,大阪市,83.8,218,0,0,0,0,0
CTR00295,2026-08-03 03:34:23,34.697783,135.18375,兵庫県,神戸市,89.6,11,0,0,0,0,0
CTR00277,2026-08-03 05:15:02,33.605965,130.404852,福岡県,福岡市,15.6,174,0,0,0,0,0
CTR00005,2026-08-03 03:47:26,38.249759,140.876074,宮城県,仙台市,89.8,191,0,0,0,0,0
CTR00182,2026-08-03 06:32:39,35.165297,136.926356,愛知県,名古屋市,74.8,65,0,0,0,0,0
CTR00291,2026-08-03 01:35:44,35.459368,139.651967,神奈川県,横浜市,1.4,295,0,1,0,0,0
CTR00207,2026-08-03 02:06:46,43.044414,141.364437,北海道,札幌市,40.2,29,0,0,0,0,0
CTR00072,2026-08-03 06:07:35,34.670448,135.181723,兵庫県,神戸市,63.1,97,0,0,0,0,0
CTR00070,2026-08-03 04:45:11,35.67131,139.680416,東京都,新宿区,,95,0,0,0,0,0
CTR00262,2026-08-03 02:22:05,35.68715,139.76834,東京都,千代田区,82.4,287,0,0,0,0,0
CTR00217,2026-08-03 02:19:02,35.639906,139.744424,東京都,港区,16.1,246,0,0,0,0,0
CTR00096,2026-08-03 03:34:02,35.436674,139.627356,神奈川県,横浜市,85.7,295,0,0,0,0,0
CTR00011,2026-08-03 05:04:34,35.544198,139.721888,神奈川県,川崎市,23.1,68,0,1,0,0,0
CTR00148,2026-08-03 01:45:28,34.387123,132.439524,広島県,広島市,65.6,79,0,0,0,0,0
CTR00078,2026-08-03 01:13:28,35.640617,139.761015,東京都,港区,56.4,284,0,0,0,0,0
CTR00123,2026-08-03 04:26:20,43.081171,141.339933,北海道,札幌市,44.2,210,0,0,0,0,0
CTR00044,2026-08-03 06:37:02,35.702761,139.708436,東京都,新宿区,10.3,108,0,0,0,0,0
CTR00089,2026-08-03 07:31:38,34.673899,135.188097,兵庫県,神戸市,17.7,58,0,0,0,0,0
CTR00043,2026-08-03 01:01:09,35.687341,139.775142,東京都,千代田区,28.2,81,0,0,0,0,0
CTR00263,2026-08-03 07:18:06,43.080509,141.366763,北海道,札幌市,77.0,144,0,0,1,0,0
CTR00118,2026-08-03 04:38:48,35.174754,136.913427,愛知県,名古屋市,75.6,126,0,0,0,0,0
CTR00217,2026-08-03 11:58:47,35.678307,139.777659,東京都,千代田区,45.7,91,0,0,0,0,0
CTR00118,2026-08-03 15:15:23,43.057874,141.361855,北海道,札幌市,,33,0,0,0,0,0
CTR00135,2026-08-03 13:11:30,43.062573,141.356985,北海道,札幌市,83.5,99,0,0,0,0,0
CTR00172,2026-08-03 12:57:37,35.180145,136.904215,愛知県,名古屋市,,255,0,0,0,0,0
CTR00016,2026-08-03 23:52:54,35.713421,139.775415,東京都,千代田区,4.9,19,0,0,0,0,0
CTR00208,2026-08-03 17:44:41,34.681964,135.178588,兵庫県,神戸市,12.7,158,0,0,0,0,0
CTR00025,2026-08-03 15:13:46,35.675722,139.729046,東京都,港区,67.2,96,0,0,0,0,0
CTR00051,2026-08-03 20:42:40,43.083329,141.334136,北海道,札幌市,33.4,224,0,0,0,0,0
CTR00146,2026-08-03 14:08:12,34.683452,135.508536,大阪府,大阪市,31.5,92,0,1,0,0,0
CTR00245,2026-08-03 16:08:40,34.39715,132.464701,広島県,広島市,48.8,152,0,0,0,0,0
CTR00182,2026-08-03 22:56:15,35.68853,139.766197,東京都,千代田区,18.1,38,0,0,0,0,0
CTR00191,2026-08-03 08:01:06,34.370805,132.435337,広島県,広島市,2.5,168,0,0,0,0,0
CTR00246,2026-08-03 15:42:57,34.707368,135.200315,兵庫県,神戸市,8.4,161,0,0,0,0,0
